id|name|count
118|Luktgräsfjäril|10016
119|Slåttergräsfjäril|7774
17|Mindre tåtelsmygare|6478
28|Kålfjäril|6270
38|Citronfjäril|5710
92|Nässelfjäril|3394
91|Påfågelöga|3200
30|Rapsfjäril|2640
117|Kamgräsfjäril|2236
125|Sandgräsfjäril|1586
71|Silverstreckad pärlemorfjäril|1452
19|Ängssmygare|1320
105|Skogsnätfjäril|1295
70|Puktörneblåvinge|1250
115|Pärlgräsfjäril|1249
131|Ljungblåvinge/Hedblåvinge|1169
120|Skogsgräsfjäril|1092
40|Mindre guldvinge|1018
89|Amiral|986
46|Grönsnabbvinge|981
77|Älggräspärlemorfjäril|869
73|Ängspärlemorfjäril|845
80|Brunfläckig pärlemorfjäril|621
6|Sexfläckig bastardsvärmare|543
42|Vitfläckig guldvinge|526
68|Silverblåvinge|499
112|Vitgräsfjäril|476
26|Aurorafjäril|473
72|Skogspärlemorfjäril|446
29|Rovfjäril|440
57|Ljungblåvinge|407
133|Ängsvitvinge/Skogsvitvinge|393
52|Tosteblåvinge|370
67|Ängsblåvinge|345
24|Skogsvitvinge|333
110|Svingelgräsfjäril|308
93|Vinbärsfuks|295
79|Prydlig pärlemorfjäril|292
139|Rapsfjäril/Rovfjäril|284
116|Brun gräsfjäril|261
95|Sorgmantel|260
5|Mindre bastardsvärmare|259
58|Hedblåvinge|259
50|Mindre blåvinge|252
7|Bredbrämad bastardsvärmare|241
109|Kvickgräsfjäril|240
60|Violett blåvinge|234
65|Midsommarblåvinge|219
18|Silversmygare|179
76|Storfläckig pärlemorfjäril|162
90|Tistelfjäril|158
11|Smultronvisslare|154
55|Svartfläckig blåvinge|144
111|Berggräsfjäril|143
33|Svavelgul höfjäril|133
140|Obestämd blåvinge|127
27|Hagtornsfjäril|124
102|Ängsnätfjäril|112
132|Hedpärlemorfjäril/Ängspärlemorfjäril/Skogspärlemorfjäril|109
94|Kartfjäril|109
1|Ängsmetallvinge|107
43|Violettkantad guldvinge|107
63|Brun blåvinge|105
88|Myrpärlemorfjäril|105
103|Sotnätfjäril|88
143|Obestämd fjäril|87
141|Obestämd vitfjäril|69
45|Eksnabbvinge|63
114|Starrgräsfjäril|60
8|Skogsvisslare|59
54|Klöverblåvinge|56
172|Brunfläckig pärlemorfjäril/Prydlig pärlemorfjäril|55
2|Klubbsprötad bastardsvärmare|52
142|Obestämd pärlemorfjäril|43
16|Svartfläckig glanssmygare|43
144|Obestämd gräsfjäril|40
23|Makaonfjäril|40
74|Hedpärlemorfjäril|35
137|Mindre bastardsvärmare/Bredbrämad bastardsvärmare|32
64|Rödfläckig blåvinge|30
47|Almsnabbvinge|29
69|Väpplingblåvinge|23
78|Svartringlad pärlemorfjäril|22
97|Videfuks|21
56|Alkonblåvinge|20
44|Eldsnabbvinge|20
41|Violett guldvinge|19
21|Apollofjäril|19
106|Aspfjäril|18
25|Ängsvitvinge|13
108|Sälgskimmerfjäril|12
113|Dårgräsfjäril|12
49|Krattsnabbvinge|10
66|Turkos blåvinge|9
101|Väddnätfjäril|7
96|Körsbärsfuks|7
4|Smalsprötad bastardsvärmare|7
84|Bäckpärlemorfjäril|6
85|Friggas pärlemorfjäril|6
15|Gulfläckig glanssmygare|5
62|Fjällvickerblåvinge|5
148|Obestämd tjockhuvudfjäril|4
157|Obestämd mätare|2
145|Obestämd bastardsvärmare|2
48|Busksnabbvinge|1
82|Frejas Pärlemorfjäril|1
20|Mnemosynefjäril|1
39|Gullvivefjäril|1
175|Körsbärsfuks/Videfuks|1
147|Obestämd snabbvinge|1
146|Obestämd guldvinge|1
165|Humledagsvärmare|1
135|Nollobservation|0
